t fi z E
0.139000 0.018767 0.722064 4.004994
0.140000 0.018947 0.720066 4.004994
0.141000 0.019127 0.718067 4.004994
0.142000 0.019308 0.716068 4.004994
0.143000 0.019490 0.714069 4.004994
0.144000 0.019672 0.712070 4.004994
0.145000 0.019856 0.710071 4.004994
0.146000 0.020040 0.708072 4.004994
0.147000 0.020225 0.706073 4.004994
0.148000 0.020411 0.704074 4.004994
0.149000 0.020598 0.702076 4.004994
0.150000 0.020786 0.700077 4.004993
0.151000 0.020975 0.698078 4.004993
0.152000 0.021164 0.696079 4.004993
0.153000 0.021354 0.694080 4.004993
0.154000 0.021545 0.692082 4.004993
0.155000 0.021738 0.690083 4.004993
0.156000 0.021930 0.688084 4.004993
0.157000 0.022124 0.686085 4.004993
0.158000 0.022319 0.684087 4.004993
0.159000 0.022515 0.682088 4.004993
0.160000 0.022711 0.680089 4.004993
0.161000 0.022909 0.678091 4.004993
0.162000 0.023107 0.676092 4.004992
0.163000 0.023307 0.674093 4.004992
0.164000 0.023507 0.672095 4.004992
0.165000 0.023708 0.670096 4.004992
0.166000 0.023910 0.668097 4.004992
0.167000 0.024113 0.666099 4.004992
0.168000 0.024318 0.664100 4.004992
0.169000 0.024523 0.662101 4.004992
0.170000 0.024729 0.660103 4.004992
0.171000 0.024936 0.658104 4.004992
0.172000 0.025144 0.656106 4.004992
0.173000 0.025353 0.654107 4.004991
0.174000 0.025563 0.652109 4.004991
0.175000 0.025774 0.650110 4.004991
0.176000 0.025986 0.648112 4.004991
0.177000 0.026199 0.646113 4.004991
0.178000 0.026413 0.644115 4.004991
0.179000 0.026628 0.642116 4.004991
0.180000 0.026844 0.640118 4.004991
0.181000 0.027062 0.638119 4.004991
0.182000 0.027280 0.636121 4.004990
0.183000 0.027499 0.634123 4.004990
0.184000 0.027720 0.632124 4.004990
0.185000 0.027941 0.630126 4.004990
0.186000 0.028164 0.628127 4.004990
0.187000 0.028388 0.626129 4.004990
0.188000 0.028613 0.624131 4.004990
0.189000 0.028838 0.622132 4.004990
0.190000 0.029066 0.620134 4.004990
0.191000 0.029294 0.618136 4.004989
0.192000 0.029523 0.616138 4.004989
0.193000 0.029754 0.614139 4.004989
0.194000 0.029985 0.612141 4.004989
0.195000 0.030218 0.610143 4.004989
0.196000 0.030452 0.608145 4.004989
0.197000 0.030687 0.606146 4.004989
0.198000 0.030924 0.604148 4.004988
0.199000 0.031161 0.602150 4.004988
0.200000 0.031400 0.600152 4.004988
0.201000 0.031640 0.598154 4.004988
0.202000 0.031881 0.596156 4.004988
0.203000 0.032124 0.594158 4.004988
0.204000 0.032367 0.592159 4.004988
0.205000 0.032612 0.590161 4.004988
0.206000 0.032859 0.588163 4.004987
0.207000 0.033106 0.586165 4.004987
0.208000 0.033355 0.584167 4.004987
0.209000 0.033605 0.582169 4.004987
0.210000 0.033856 0.580171 4.004987
0.211000 0.034109 0.578173 4.004987
0.212000 0.034363 0.576175 4.004986
0.213000 0.034619 0.574177 4.004986
0.214000 0.034875 0.572179 4.004986
0.215000 0.035134 0.570181 4.004986
0.216000 0.035393 0.568184 4.004986
0.217000 0.035654 0.566186 4.004986
0.218000 0.035916 0.564188 4.004985
0.219000 0.036180 0.562190 4.004985
0.220000 0.036445 0.560192 4.004985
0.221000 0.036712 0.558194 4.004985
0.222000 0.036979 0.556197 4.004985
0.223000 0.037249 0.554199 4.004985
0.224000 0.037520 0.552201 4.004984
0.225000 0.037792 0.550203 4.004984
0.226000 0.038066 0.548206 4.004984
0.227000 0.038341 0.546208 4.004984
0.228000 0.038618 0.544210 4.004984
0.229000 0.038897 0.542212 4.004983
0.230000 0.039177 0.540215 4.004983
0.231000 0.039458 0.538217 4.004983
0.232000 0.039741 0.536220 4.004983
0.233000 0.040026 0.534222 4.004983
0.234000 0.040312 0.532224 4.004982
0.235000 0.040600 0.530227 4.004982
0.236000 0.040890 0.528229 4.004982
0.237000 0.041181 0.526232 4.004982
0.238000 0.041474 0.524234 4.004982
0.239000 0.041768 0.522237 4.004981
0.240000 0.042064 0.520239 4.004981
0.241000 0.042362 0.518242 4.004981
0.242000 0.042662 0.516244 4.004981
0.243000 0.042963 0.514247 4.004980
0.244000 0.043266 0.512250 4.004980
0.245000 0.043571 0.510252 4.004980
0.246000 0.043878 0.508255 4.004980
0.247000 0.044186 0.506258 4.004979
0.248000 0.044496 0.504260 4.004979
