t fi z E
1.360000 -0.803298 1.304132 0.814347
1.370000 -0.808165 1.308600 0.811794
1.380000 -0.809913 1.313018 0.809220
1.390000 -0.808569 1.317383 0.806655
1.400000 -0.804167 1.321696 0.804126
1.410000 -0.796751 1.325958 0.801664
1.420000 -0.786370 1.330171 0.799295
1.430000 -0.773083 1.334340 0.797049
1.440000 -0.756955 1.338468 0.794952
1.450000 -0.738062 1.342560 0.793032
1.460000 -0.716485 1.346623 0.791315
1.470000 -0.692314 1.350664 0.789828
1.480000 -0.665649 1.354689 0.788595
1.490000 -0.636596 1.358708 0.787640
1.500000 -0.605271 1.362728 0.786982
1.510000 -0.571798 1.366758 0.786639
1.520000 -0.536312 1.370808 0.786623
1.530000 -0.498954 1.374886 0.786945
1.540000 -0.459874 1.379002 0.787605
1.550000 -0.419229 1.383164 0.788601
1.560000 -0.377185 1.387380 0.789924
1.570000 -0.333914 1.391658 0.791555
1.580000 -0.289594 1.396005 0.793473
1.590000 -0.244407 1.400428 0.795645
1.600000 -0.198541 1.404933 0.798037
1.610000 -0.152184 1.409523 0.800605
1.620000 -0.105529 1.414202 0.803304
1.630000 -0.058767 1.418973 0.806083
1.640000 -0.012088 1.423838 0.808891
1.650000 0.034320 1.428796 0.811677
1.660000 0.080271 1.433847 0.814391
1.670000 0.125586 1.438989 0.816983
1.680000 0.170091 1.444218 0.819410
1.690000 0.213620 1.449531 0.821633
1.700000 0.256012 1.454923 0.823617
1.710000 0.297118 1.460389 0.825336
1.720000 0.336797 1.465922 0.826769
1.730000 0.374917 1.471514 0.827902
1.740000 0.411358 1.477160 0.828727
1.750000 0.446008 1.482850 0.829242
1.760000 0.478767 1.488578 0.829452
1.770000 0.509546 1.494335 0.829366
1.780000 0.538265 1.500113 0.828996
1.790000 0.564853 1.505905 0.828361
1.800000 0.589252 1.511703 0.827478
1.810000 0.611411 1.517500 0.826369
1.820000 0.631287 1.523288 0.825058
1.830000 0.648849 1.529062 0.823568
1.840000 0.664071 1.534816 0.821925
1.850000 0.676935 1.540545 0.820151
1.860000 0.687434 1.546245 0.818272
1.870000 0.695562 1.551911 0.816312
1.880000 0.701326 1.557542 0.814295
1.890000 0.704733 1.563134 0.812243
1.900000 0.705802 1.568687 0.810179
1.910000 0.704554 1.574199 0.808125
1.920000 0.701016 1.579672 0.806103
1.930000 0.695223 1.585105 0.804134
1.940000 0.687212 1.590501 0.802239
1.950000 0.677028 1.595862 0.800436
1.960000 0.664720 1.601191 0.798746
1.970000 0.650342 1.606491 0.797188
1.980000 0.633954 1.611766 0.795780
1.990000 0.615621 1.617022 0.794538
2.000000 0.595412 1.622264 0.793478
2.010000 0.573403 1.627496 0.792616
