0.000000 2.967000 0.000000 9.847974
0.010000 2.966826 -0.017371 9.847823
0.020000 2.966479 -0.034759 9.847671
0.030000 2.965957 -0.052181 9.847518
0.040000 2.965260 -0.069654 9.847363
0.050000 2.964388 -0.087196 9.847205
0.060000 2.963340 -0.104824 9.847044
0.070000 2.962115 -0.122555 9.846880
0.080000 2.960711 -0.140406 9.846711
0.090000 2.959127 -0.158396 9.846537
0.100000 2.957361 -0.176542 9.846357
0.110000 2.955413 -0.194861 9.846170
0.120000 2.953279 -0.213371 9.845977
0.130000 2.950958 -0.232092 9.845775
0.140000 2.948448 -0.251040 9.845564
0.150000 2.945745 -0.270235 9.845344
0.160000 2.942848 -0.289694 9.845114
0.170000 2.939754 -0.309438 9.844872
0.180000 2.936459 -0.329485 9.844618
0.190000 2.932960 -0.349855 9.844351
0.200000 2.929255 -0.370567 9.844069
0.210000 2.925338 -0.391642 9.843772
0.220000 2.921207 -0.413099 9.843458
0.230000 2.916858 -0.434960 9.843127
0.240000 2.912285 -0.457244 9.842777
0.250000 2.907486 -0.479975 9.842407
0.260000 2.902454 -0.503172 9.842014
0.270000 2.897185 -0.526859 9.841599
0.280000 2.891675 -0.551057 9.841159
0.290000 2.885917 -0.575789 9.840693
0.300000 2.879906 -0.601079 9.840198
0.310000 2.873637 -0.626950 9.839674
0.320000 2.867102 -0.653426 9.839118
0.330000 2.860297 -0.680532 9.838528
0.340000 2.853214 -0.708292 9.837901
0.350000 2.845847 -0.736732 9.837237
0.360000 2.838188 -0.765877 9.836532
0.370000 2.830230 -0.795754 9.835784
0.380000 2.821966 -0.826390 9.834990
0.390000 2.813388 -0.857811 9.834147
0.400000 2.804488 -0.890046 9.833253
0.410000 2.795257 -0.923121 9.832304
0.420000 2.785686 -0.957067 9.831298
0.430000 2.775767 -0.991911 9.830230
0.440000 2.765490 -1.027683 9.829098
0.450000 2.754846 -1.064412 9.827897
0.460000 2.743825 -1.102130 9.826624
0.470000 2.732416 -1.140866 9.825275
0.480000 2.720609 -1.180652 9.823845
0.490000 2.708394 -1.221518 9.822331
0.500000 2.695759 -1.263495 9.820727
0.510000 2.682693 -1.306616 9.819028
0.520000 2.669184 -1.350912 9.817231
0.530000 2.655220 -1.396416 9.815330
0.540000 2.640788 -1.443158 9.813319
0.550000 2.625877 -1.491171 9.811194
0.560000 2.610472 -1.540487 9.808948
0.570000 2.594560 -1.591137 9.806578
0.580000 2.578129 -1.643152 9.804076
0.590000 2.561163 -1.696564 9.801437
0.600000 2.543649 -1.751402 9.798656
0.610000 2.525572 -1.807697 9.795727
0.620000 2.506918 -1.865476 9.792643
0.630000 2.487670 -1.924767 9.789401
0.640000 2.467814 -1.985598 9.785994
0.650000 2.447334 -2.047992 9.782418
0.660000 2.426214 -2.111974 9.778667
0.670000 2.404439 -2.177564 9.774738
0.680000 2.381991 -2.244782 9.770626
0.690000 2.358854 -2.313646 9.766329
0.700000 2.335013 -2.384168 9.761843
0.710000 2.310449 -2.456361 9.757167
0.720000 2.285147 -2.530231 9.752301
0.730000 2.259089 -2.605783 9.747246
0.740000 2.232259 -2.683016 9.742002
0.750000 2.204639 -2.761925 9.736573
0.760000 2.176214 -2.842501 9.730965
0.770000 2.146967 -2.924728 9.725185
0.780000 2.116881 -3.008583 9.719242
0.790000 2.085941 -3.094040 9.713147
0.800000 2.054130 -3.181062 9.706915
0.810000 2.021434 -3.269607 9.700562
